0.0 	 _Z11badFunctioni 	 4015e7	 shr $0x2,%r8
0.0 	 _Z11badFunctioni 	 4015d8	 imul %r8,%rdx
0.0 	 _Z11badFunctioni 	 4015cf	 movslq %edx,%rsi
0.0 	 _Z11badFunctioni 	 4015cc	 mov -0x68(%rbp),%edx
0.0 	 _Z11badFunctioni 	 4015c1	 mov %rcx,%r8
0.0 	 _Z11badFunctioni 	 4015bd	 shr $0x2,%rdi
0.0 	 _Z11badFunctioni 	 4015b2	 add %rsi,%rdx
0.0 	 _Z11badFunctioni 	 4015ae	 imul %rdi,%rdx
0.0 	 _Z11badFunctioni 	 4015a5	 movslq %edx,%rsi
0.0 	 _Z11badFunctioni 	 4015a2	 mov -0x68(%rbp),%edx
0.0 	 _Z11badFunctioni 	 401595	 movss (%rax,%rdx,4),%xmm0
0.0 	 _Z11badFunctioni 	 401592	 add %rsi,%rdx
0.0 	 _Z11badFunctioni 	 40158e	 imul %r8,%rdx
0.0 	 _Z11badFunctioni 	 401584	 mov -0x50(%rbp),%rax
0.0 	 _Z11badFunctioni 	 401581	 lea -0x1(%rax),%esi
0.0 	 _Z11badFunctioni 	 40157b	 lea -0x1(%rax),%edx
0.0 	 _Z11badFunctioni 	 401574	 shr $0x2,%r8
0.0 	 _Z11badFunctioni 	 40156c	 movss (%rax,%rdx,4),%xmm1
0.0 	 _Z11badFunctioni 	 401569	 add %rsi,%rdx
0.0 	 _Z11badFunctioni 	 401565	 imul %r8,%rdx
0.0 	 _Z11badFunctioni 	 40155f	 mov -0x64(%rbp),%edx
0.0 	 _Z11badFunctioni 	 40155c	 movslq %edx,%rsi
0.0 	 _Z11badFunctioni 	 401559	 mov -0x68(%rbp),%edx
0.0 	 _Z11badFunctioni 	 40154e	 mov %rcx,%r8
0.0 	 _Z11badFunctioni 	 40154a	 shr $0x2,%rdi
0.0 	 _Z11badFunctioni 	 40153e	 mov 0x7a8(%rip),%eax # 401cec <_IO_stdin_used+0xbc>
0.0 	 _Z11badFunctioni 	 40153b	 add %rax,%rsi
0.0 	 _Z11badFunctioni 	 401535	 cltq
0.0 	 _Z11badFunctioni 	 401532	 mov -0x64(%rbp),%eax
0.0 	 _Z11badFunctioni 	 40152f	 movslq %eax,%rsi
0.0 	 _Z11badFunctioni 	 401521	 mov %rcx,%rdi
0.0 	 _Z11badFunctioni 	 401515	 movl $0x1,-0x64(%rbp)
0.0 	 _Z12goodFunctioni 	 40124e	 cmp -0x68(%rbp),%eax
0.0 	 _Z12goodFunctioni 	 401244	 addl $0x1,-0x68(%rbp)
0.0 	 _Z12goodFunctioni 	 401235	 movslq %edx,%rdx
0.0 	 _Z12goodFunctioni 	 40122c	 mov -0x68(%rbp),%edx
0.0 	 _Z12goodFunctioni 	 401224	 divss %xmm1,%xmm0
0.0 	 _Z12goodFunctioni 	 40121c	 movss 0xacc(%rip),%xmm1 # 401cf0 <_IO_stdin_used+0xc0>
0.0 	 _Z12goodFunctioni 	 401217	 movss (%rax,%rdx,4),%xmm0
0.0 	 _Z12goodFunctioni 	 401214	 add %rsi,%rdx
0.0 	 _Z12goodFunctioni 	 401210	 imul %r8,%rdx
0.0 	 _Z12goodFunctioni 	 40120d	 movslq %edx,%rdx
0.0 	 _Z12goodFunctioni 	 40120a	 mov -0x64(%rbp),%edx
0.0 	 _Z12goodFunctioni 	 401207	 movslq %edx,%rsi
0.0 	 _Z12goodFunctioni 	 401204	 mov -0x68(%rbp),%edx
0.0 	 _Z12goodFunctioni 	 401200	 mov -0x38(%rbp),%rax
0.0 	 _Z12goodFunctioni 	 4011fc	 shr $0x2,%r8
0.0 	 _Z12goodFunctioni 	 4011f9	 mov %rcx,%r8
0.0 	 _Z12goodFunctioni 	 4011f5	 shr $0x2,%rdi
0.0 	 _Z12goodFunctioni 	 4011f2	 mov %rcx,%rdi
0.0 	 _Z12goodFunctioni 	 4011ed	 movss %xmm0,(%rax,%rdx,4)
0.0 	 _Z12goodFunctioni 	 4011ea	 add %rsi,%rdx
0.0 	 _Z12goodFunctioni 	 4011e6	 imul %rdi,%rdx
0.0 	 _Z12goodFunctioni 	 4011e3	 movslq %edx,%rdx
0.0 	 _Z12goodFunctioni 	 4011e0	 mov -0x64(%rbp),%edx
0.0 	 _Z12goodFunctioni 	 4011da	 mov -0x68(%rbp),%edx
0.0 	 _Z12goodFunctioni 	 4011d6	 mov -0x38(%rbp),%rax
0.0 	 _Z12goodFunctioni 	 4011d2	 addss %xmm1,%xmm0
0.0 	 _Z12goodFunctioni 	 4011cd	 movss (%rax,%rdx,4),%xmm0
0.0 	 _Z12goodFunctioni 	 4011ca	 add %rsi,%rdx
0.0 	 _Z12goodFunctioni 	 4011c3	 movslq %edx,%rdx
0.0 	 _Z12goodFunctioni 	 4011c0	 movslq %esi,%rsi
0.0 	 _Z12goodFunctioni 	 4011bc	 mov -0x50(%rbp),%rax
0.0 	 _Z12goodFunctioni 	 4011b6	 mov -0x68(%rbp),%eax
0.0 	 _Z12goodFunctioni 	 4011b3	 lea 0x1(%rax),%edx
0.0 	 _Z12goodFunctioni 	 4011b0	 mov -0x64(%rbp),%eax
0.0 	 _Z12goodFunctioni 	 4011ac	 shr $0x2,%r8
0.0 	 _Z12goodFunctioni 	 4011a9	 mov %r10,%r8
0.0 	 _Z12goodFunctioni 	 4011a4	 movss (%rax,%rdx,4),%xmm1
0.0 	 _Z12goodFunctioni 	 4011a1	 add %rsi,%rdx
0.0 	 _Z12goodFunctioni 	 40119a	 movslq %edx,%rdx
0.0 	 _Z12goodFunctioni 	 401197	 mov -0x64(%rbp),%edx
0.0 	 _Z12goodFunctioni 	 401194	 movslq %edx,%rsi
0.0 	 _Z12goodFunctioni 	 40118d	 mov -0x38(%rbp),%rax
